NRA,NOMBRE,SCIAN,DESC_SCIAN,SECTOR,SUBSECTOR,ACTIVIDAD,PARQ_ IND,COORD_UTMX,COORD_UTMY,LAT_NORTE,lat1,lat2,lat3,lat,LON_OESTE,lon1,lon2,lon3,lon,CALLE,NUM_EXT,NUM_INT,COLONIA,LOCALIDAD,ESTADO,MUNICIPIO,CP
AAA190000015,"BELDEN LRC MEXICO S DE R.L. DE C.V.,BELDEN LRC MEXICO",334220,"Fabricación de equipo de transmisión y recepción de señales de radio y televisión, y equipo de comunicación inalámbrico","Equipos y articulos electronicos, electricos y domesticos","Produccion de aparatos, equipos y/o accesorios electricos y/o electronicos",MANUFACTURA DE COMPONENTES ELECTRONICOS,,368693.0927,2850093.974,"25°45'46""",25,45,46,25.76277778,"100°18'33""",100,18,33,-100.3091667,Avenida Av. Sendero Divisorio,500,B1 ,Privada TABACHINES,SAN NICOLAS DE LOS GARZA,NUEVO LEON,San Nicolas de los Garza,66425
AAGL70100111,"AEROPUERTO DE AGUASCALIENTES SA DE CV,Aeropuerto Internacional de Aguascalientes ",551111,Corporativos,Otros,Servicios de administracion de aeropuertos y helipuertos,"Servicios Aeroportuarios, comerciales y complementarios ",,780482.1602,2418722.078,"21°51'0""",21,51,0,21.85,"102°17'10""",102,17,10,-102.2861111,Calle CARRETERA PANAMERICANA SUR,KM.22 , ,Colonia PE¿UELAS,AGUASCALIENTES,AGUASCALIENTES,Aguascalientes,20340
AAG1403901019,"JESUS ALVARADO GARCIA,TALLER DEL SR. JESUS ALVARADO",339999,Otras industrias manufactureras,Quimica,Galvanoplastia,MAQUILA DE GALVANOPLASTIA,,671986.3405,2283474.422,"20°38'33""",20,38,33,20.6425,"103°20'57""",103,20,57,-103.3491667,Calle  10a,2083, ,Colonia FERROCARRIL,GUADALAJARA,JALISCO,Guadalajara,44440
AAL7Q1503321,"ALMEXA ALUMINIO SA DE CV,",331310,Industria básica del aluminio,Metalurgica (incluye la siderurgica),Afinacion y laminacion de aluminio,TRANSFORMACIÓN DE ALUMINIO,,494746.4971,2162444.274,"19°33'24""",19,33,24,19.55666667,"99°3'0""",99,3,0,-99.05,Calle VIA MORELOS,347, ,Colonia STA. MARIA TULPETLAC,ECATEPEC DE MORELOS,MEXICO,Ecatepec de Morelos,55400
AAL7Q1510911,"AZINSA ALUMINIO, S.A DE C.V,AZINSA ALUMINIO, S.A. DE C.V.",331310,Industria básica del aluminio,Metalurgica (incluye la siderurgica),Afinacion y laminacion de aluminio,"AFINACIÓN Y LAMINACION DE ALUMINIO (INCLUYE FUNDICION, EXTRUSION O ESTIRAJE)",,483998.7598,2171967.927,"19°38'34""",19,38,34,19.64277778,"99°9'9""",99,9,9,-99.1525,Calle AV. DOS,4, ,Colonia FRACC. INDUSTRIAL CARTAGENA,TULTITLAN DE MARIANO ESCOBEDO,MEXICO,Tultitlan,54900
AAM1503900040,"ACEROS AMERICA S.A. DE C.V.,",331220,Fabricación de otros productos de hierro y acero,Metalurgica (incluye la siderurgica),Laminacion secundaria de hierro y acero,LAMINACIÓN DE VARILLA Y SIMILARES,,505305.747,2137438.076,"19°19'51""",19,19,51,19.33083333,"98°56'58""",98,56,58,-98.94944444,Calle Seminario,3, ,Colonia SAN JUAN TLALPIZAHUAC,IXTAPALUCA,MEXICO,Ixtapaluca,56576
AAM9I2803211,"ARC AUTOMOTRIZ DE MEXICO, S. DE R.L. DE C.V.,",336320,Fabricación de equipo eléctrico y electrónico y sus partes para vehículos automotores,Automotriz,Produccion de otras auto partes,MANUFACTURA DE PAQUETE ENERGÉTICO E INFLADOR  PARA LA  INDUSTRIA  AUTOMOTRIZ,,573886.4279,2875456.587,"25°59'45""",25,59,45,25.99583333,"98°15'42""",98,15,42,-98.26166667,Calle AVE. ALCALA S/N CARR. A SAN FERNANDO,KM.2 , ,Colonia PARQUE IND. STIVA ALCALA,REYNOSA,TAMAULIPAS,Reynosa,88796
AAM9M1103711,"AMERICAN AXLE & MANUFACTURING DE MEXICO S DE RL DE CV,AMERICAN AXLE & MANUFACTURING DE MEXICO",336350,Fabricación de partes de sistemas de transmisión para vehículos automotores,Automotriz,Produccion de otras auto partes,COMERCIALIZADORA DE EJES Y AUTOPARTES,,254545.9119,2311788.66,"20°53'24""",20,53,24,20.89,"101°21'34""",101,21,34,-101.3594444,Calle AVENIDA DE LOS COMERCIANTES,1300, ,Colonia PARQUE INDUSTRIAL FIPASI,SILAO DE LA VICTORIA,GUANAJUATO,Silao,36100
AAU1903900165,"Autokam Automotriz S.A. de C.V.,",811121,Hojalatería y pintura de automóviles y camiones,Otros,Reparacion y mantenimiento automotriz,VENTA DE AUTOMOVILES Y REFACCIONES SERVICIO DE MANTTO. AUTOMOTRIZ LAMINADO Y PINTURA,,371287.6752,2835859.916,"25°38'5""",25,38,5,25.63472222,"100°16'55""",100,16,55,-100.2819444,Avenida EUGENIO GARZA SADA,3800, ,Colonia MAS PALOMAS,MONTERREY,NUEVO LEON,Monterrey,64780
AAU2112800014,"AUDI MEXICO, S.A DE C.V.,AUDI",336110,Fabricación de automóviles y camionetas,Automotriz,"Produccion de automoviles, camiones, tractocamiones y similares",FABRICACION DE AUTOMOVILES Y CAMIONETAS,SAN JOSE  CHIAPA,631151.4602,2125346.276,"19°13'2""",19,13,2,19.21722222,"97°45'8""",97,45,8,-97.75222222,Boulevard Q5,1, ,,SAN JOSE CHIAPA,PUEBLA,San Jose Chiapa,75012
AAZEE0900211,"ANGAR AZCAPOTZALCO S.A. DE C.V.,ANGAR AZCAPOTZALCO",468111,Comercio al por menor de automóviles y camionetas nuevos,Automotriz,"Produccion de automoviles, camiones, tractocamiones y similares",VENTA DE AUTOMÓVILES Y TALLER AUTOMOTRIZ,,481717.006,2154350.816,"19°29'1""",19,29,1,19.48361111,"99°10'27""",99,10,27,-99.17416667,Calle AV. DE LAS GRANJAS,NO.473 , ,Colonia BARRIO JAGUEY,AZCAPOTZALCO,DISTRITO FEDERAL,Azcapotzalco,2530
