Sustancia,Grupo
Bifenilos policlorados,cop
Dioxinas,cop
Furanos,cop
Bioxido de carbono,gei
Hexafluoruro de azufre,gei
Hidrofluorocarbonos,gei
Metano,gei
Oxido nitroso,gei
Bioxido de nitrogeno,gei
Anilina,haral
Benceno,haral
Bifenilo,haral
Dibutilftalato,haral
Estireno (fenil etileno),haral
Fenol,haral
Piridina,haral
Butadieno,haral
Toluen diisocianato,haral
Tricloroetileno,haral
Metileno bis(fenilisocianato),haral
Xileno (mezcla de isomeros),haral
Tolueno,haral
1. 1-metileno bis(4-isocianato de ciclohexano),haral
Benzo(a)pireno,haral
Benzo(a)antraceno,haral
Benzo(k)fluoranteno,haral
Cumeno,haral
Acetato de vinilo,haral
2. 4-Dinitrotolueno,haral
Oxido de etileno,haral
Diisocianato de difenilmetano polimerico,haral
Dibutilftalato,haral
Benzo(b)fluoranteno,haral
Acenafteno,haral
Indeno(1. 2. 3-c. d)pireno,haral
Formaldehido,haral
Arsenico,met
Arsenico (compuestos),met
Cadmio,met
Cadmio (compuestos),met
Cromo (compuestos),met
Cromo (polvos respirables.  humos o vapores),met
Mercurio,met
Mercurio (compuestos),met
Niquel (compuestos),met
Niquel (polvos respirables.  humos o vapores),met
Plomo (compuestos),met
Plomo (polvos respirables.  humos o vapores),met
1. 1. 2. 2-Tetracloroetano,orghal
1. 1. 2-Tricloroetano,orghal
1. 2. -Dicloroetano,orghal
1. 2-Diclorobenceno,orghal
1. 4-Diclorobenceno,orghal
Bromoformo,orghal
Clorobenceno (monoclorobenceno),orghal
Cloroformo,orghal
Clorometano,orghal
Cloruro de metileno,orghal
Cloruro de vinilo,orghal
Epiclorhidrina,orghal
4. 4'metileno-bis (2-cloroanilina) (MBOCA),orghal
Pentaclorofenol,orghal
2-Etoxietanol (Termonoetilico de etilenglicol),otrsp
Acetaldehido,otrsp
Acido sulfhidrico,otrsp
Acrilamida,otrsp
Acrilamina,otrsp
Acrilonitrilo,otrsp
Acroleina,otrsp
Asbesto,otrsp
Azida de sodio,otrsp
Cianuro inorganico/organico,otrsp
Dioxano,otrsp
Dioxido de cloro,otrsp
Nitrato de plata,otrsp
Hidracina,otrsp
Sulfato de cobre,otrsp
Fosfato de tris(metilfenilo),otrsp
Antimonio trioxido,otrsp
Hexafluoruro de azufre,otrsp
Endosulfan,plag
Metil paration,plag
Clorotalonil,plag
Clorpirifos,plag
Monocrotofos,plag
1. 1. 1-Tricloroetano,saozo
1. 1-Dicloro-1-Fluoroetano (HCFC-141b),saozo
2-Cloro-1. 1. 2. 3-Tetrafluoroetano (HCFC-124),saozo
Bromuro de metilo,saozo
Clorodifluorometano (HCFC-22),saozo
Diclorodifluorometano (CFC-12),saozo
Tetracloruro de carbono,saozo
