NRA,NOMBRE,SECTOR,ESTADO,MUNICIPIO,SUSTANCIA,UNIDAD,AIRE,AGUA,SUELO,REUTILIZACION,RECICLADO,COPROCESAMIENTO,TRATAMIENTO,DISP_FINAL,ALCANTARILLADO,INCINERACION,OTROS,Comp_or_persist,Gases_Efecto_Invern,Hidrocarb_arom_y_alif,Metales,Organohalogenados,Sust_agot_del_ozono,Plaguicidas,Otras_sust_peligr,GRUPO
AAA190000015,BELDEN LRC MEXICO S DE R.L. DE C.V.. BELDEN LRC MEXICO,Equipos y articulos electronicos.  electricos y domesticos,NUEVO LEON,San Nicolas de los Garza,Cromo (compuestos),Kg,0,0,0,0,0,0,64,0,0,0,0,,,,1,,,,,Metales
AAGL70100111,AEROPUERTO DE AGUASCALIENTES SA DE CV. Aeropuerto Internacional de Aguascalientes ,Otros,AGUASCALIENTES,Aguascalientes,Niquel (compuestos),Kg,0,0,1.5646,0,0,0,0,0,0,0,0,,,,1,,,,,Metales
AAL7Q1503321,ALMEXA ALUMINIO SA DE CV. ,Metalurgica (incluye la siderurgica),MEXICO,Ecatepec de Morelos,Cadmio (compuestos),Kg,0,0,0,0,0,0,0,0,1.275,0,0,,,,1,,,,,Metales
AAL7Q1503321,ALMEXA ALUMINIO SA DE CV. ,Metalurgica (incluye la siderurgica),MEXICO,Ecatepec de Morelos,Plomo (compuestos),Kg,0,0,0,0,0,0,0,0,7.6498,0,0,,,,1,,,,,Metales
AAL7Q1503321,ALMEXA ALUMINIO SA DE CV. ,Metalurgica (incluye la siderurgica),MEXICO,Ecatepec de Morelos,Bioxido de carbono,Kg,1519079.71,0,0,0,0,0,0,0,0,0,0,,1,,,,,,,Gases de Efecto Invernadero
AAL7Q1503321,ALMEXA ALUMINIO SA DE CV. ,Metalurgica (incluye la siderurgica),MEXICO,Ecatepec de Morelos,Niquel (polvos respirables.  humos o vapores),Kg,0,0,0,0,0,0,0,5.6,0,0,0,,,,1,,,,,Metales
AAL7Q1503321,ALMEXA ALUMINIO SA DE CV. ,Metalurgica (incluye la siderurgica),MEXICO,Ecatepec de Morelos,Cadmio,Kg,0,0,0,0,0,0,0,9.8,0,0,0,,,,1,,,,,Metales
AAU2112800014,AUDI MEXICO.  S.A DE C.V.. AUDI,Automotriz,PUEBLA,San Jose Chiapa,Metileno bis(fenilisocianato),Kg,13429.37,0,0,0,0,0,0,0,0,0,0,,,1,,,,,,Hidrocarburos Aromaticos y Alifaticos
AAU2112800014,AUDI MEXICO.  S.A DE C.V.. AUDI,Automotriz,PUEBLA,San Jose Chiapa,Xileno (mezcla de isomeros),Kg,171395.68,0,0,0,0,0,0,0,0,0,0,,,1,,,,,,Hidrocarburos Aromaticos y Alifaticos
AAZEE0900211,ANGAR AZCAPOTZALCO S.A. DE C.V.. ANGAR AZCAPOTZALCO,Automotriz,DISTRITO FEDERAL,Azcapotzalco,Tolueno,Kg,1592.0065,0,0,0,0,0,0,0,0,0,0,,,1,,,,,,Hidrocarburos Aromaticos y Alifaticos
ABA1605200103,AGROINDUSTRIAS DEL BALSAS S.A. DE C.V.. AGROINDUSTRIAS DEL BALSAS.  S.A. DE C.V.,Quimica,MICHOACAN,Lazaro Cardenas,Oxido nitroso,Kg,1090666,0,0,0,0,0,0,0,0,0,0,,1,,,,,,,Gases de Efecto Invernadero
